Date,Adj Close,Label,Open,High,Low,Volume,Subjectivity,Polarity,compound,neg,pos,neu
2008-08-08,11734.320312,1,11432.089844,11759.959961,11388.040039,212830000,0.26754863910036325,-0.04856819425784943,-0.9982,0.235,0.041,0.724
2008-08-11,11782.349609,0,11729.669922,11867.110352,11675.530273,183190000,0.3748059542796385,0.12195640616693249,-0.9858,0.191,0.089,0.721
2008-08-12,11642.469727,0,11781.700195,11782.349609,11601.519531,173590000,0.5362343674843675,-0.04430164742664744,-0.9715,0.128,0.056,0.816
2008-08-13,11532.959961,1,11632.80957,11633.780273,11453.339844,182550000,0.36402116402116397,0.01139770723104056,-0.9809,0.146,0.066,0.788
2008-08-14,11615.929688,1,11532.070312,11718.280273,11450.889648,159790000,0.3750992063492063,0.04067685786435787,-0.9882,0.189,0.094,0.717
2008-08-15,11659.900391,0,11611.209961,11709.889648,11599.730469,215040000,0.4576923076923076,0.04775641025641026,-0.9892,0.177,0.07,0.753
2008-08-18,11479.389648,0,11659.650391,11690.429688,11434.120117,156290000,0.4859945609945609,0.016758935508935504,-0.9938,0.224,0.056,0.719
2008-08-19,11348.549805,1,11478.089844,11478.169922,11318.5,171580000,0.34523007856341187,-0.025813692480359147,-0.9974,0.247,0.037,0.716
2008-08-20,11417.429688,1,11345.94043,11454.150391,11290.580078,144880000,0.21847041847041848,0.03838383838383839,-0.9913,0.182,0.06,0.758
2008-08-21,11430.209961,1,11415.230469,11476.209961,11315.570312,130020000,0.25833333333333336,0.049074074074074076,-0.9966,0.218,0.065,0.717
2008-08-22,11628.05957,0,11426.790039,11632.129883,11426.790039,138790000,0.30871212121212116,0.08011363636363637,-0.976,0.145,0.078,0.778
2008-08-25,11386.25,1,11626.19043,11626.269531,11362.629883,148610000,0.5132587412587413,-0.08321212121212118,-0.9979,0.274,0.024,0.701
2008-08-26,11412.870117,1,11383.55957,11436.240234,11340.410156,119800000,0.3761904761904762,0.034424603174603184,-0.9913,0.222,0.066,0.712
2008-08-27,11502.509766,1,11412.459961,11554.459961,11381.769531,120580000,0.3662280701754386,-0.00011961722488037186,-0.9921,0.181,0.048,0.771
2008-08-28,11715.179688,0,11499.870117,11715.179688,11499.790039,149150000,0.2290184453227932,-0.01966403162055336,-0.9153,0.15,0.113,0.737
2008-08-29,11543.959961,0,11713.230469,11713.230469,11543.389648,166910000,0.3068181818181818,-0.06444559228650137,-0.9575,0.134,0.076,0.789
2008-09-02,11516.919922,1,11545.629883,11790.169922,11471.900391,177090000,0.34970238095238093,-0.017261904761904756,-0.9971,0.241,0.052,0.706
2008-09-03,11532.879883,0,11506.009766,11554.379883,11416.530273,174250000,0.29068863235529896,0.003595478595478582,-0.9866,0.162,0.059,0.779
2008-09-04,11188.230469,1,11532.480469,11532.480469,11176.019531,229200000,0.3704545454545454,-0.08497474747474744,-0.9893,0.187,0.089,0.724
2008-09-05,11220.959961,1,11185.629883,11245.150391,11037.849609,198300000,0.29928571428571427,0.03714285714285715,-0.9963,0.228,0.092,0.68
2008-09-08,11510.740234,0,11224.870117,11570.660156,11224.790039,273000000,0.3355841018884496,-0.11931269213877913,-0.9962,0.213,0.046,0.74
2008-09-09,11230.730469,1,11514.730469,11577.5,11230.730469,257300000,0.406191222570533,-0.05564263322884014,-0.9943,0.192,0.062,0.746
2008-09-10,11268.919922,1,11233.910156,11380.629883,11215.259766,214260000,0.4755952380952382,0.0005952380952381055,-0.9973,0.256,0.035,0.709
2008-09-11,11433.709961,0,11264.44043,11445.679688,11098.669922,247820000,0.3539285714285715,0.07089285714285713,-0.9845,0.182,0.069,0.749
2008-09-12,11421.990234,0,11429.320312,11459.929688,11280.400391,238890000,0.3642725960907779,0.011061917880099692,-0.9775,0.13,0.042,0.828
2008-09-15,10917.509766,1,11416.370117,11416.450195,10917.509766,432970000,0.3598739495798319,-0.032983193277310925,-0.9909,0.19,0.081,0.729
2008-09-16,11059.019531,0,10905.620117,11093.219727,10742.700195,494760000,0.4395061728395062,-0.051945379723157506,-0.997,0.221,0.057,0.722
2008-09-17,10609.660156,1,11056.580078,11057.30957,10595.900391,463200000,0.36503787878787886,-0.09276988636363637,-0.9939,0.209,0.026,0.765
2008-09-18,11019.69043,1,10609.009766,11076.44043,10459.44043,488060000,0.41060568086883875,0.046098579782790305,-0.9969,0.25,0.032,0.718
2008-09-19,11388.44043,0,11027.509766,11483.049805,11026.700195,655110000,0.3875,0.026171874999999997,-0.9955,0.247,0.039,0.714
2008-09-22,11015.69043,0,11394.419922,11394.580078,10992.200195,213210000,0.2952058175742386,-0.01072188045872257,-0.9956,0.208,0.071,0.721
2008-09-23,10854.169922,0,11015.69043,11143.209961,10833.94043,204480000,0.29444444444444445,-0.1166666666666667,-0.9894,0.196,0.083,0.721
